unicode,emoji,cldr,cldr_link,meaning,note,unicode_text
U+1F487 U+200D U+2642 U+FE0F,💇‍♂️,man getting haircut,man-getting-haircut,-,"The Man Getting Haircut emoji is a ZWJ sequence combining 💇 Person Getting Haircut, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Getting Haircut was added to Emoji 4.0 in 2016.
U+1F487 U+200D U+2640 U+FE0F,💇‍♀️,woman getting haircut,woman-getting-haircut,The female version of the 💇 Haircut emoji. Currently identical in appearance to the non-gendered base emoji.,"The Woman Getting Haircut emoji is a ZWJ sequence combining 💇 Person Getting Haircut, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Getting Haircut was added to Emoji 4.0 in 2016.
U+1F6B6,🚶,person walking,person-walking,"A person going for a walk. Taking a slow-medium pace, this person would be a runner if they picked up their speed. This emoji does not specify a gender, but is shown as a man on most major platforms. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Walking was approved as part of Unicode 6.0 in 2010 under the name “Pedestrian” and added to Emoji 1.0 in 2015.
U+1F6B6 U+200D U+2642 U+FE0F,🚶‍♂️,man walking,man-walking,The female version of the 🚶 Pedestrian emoji.,"The Woman Walking emoji is a ZWJ sequence combining 🚶 Person Walking, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Walking was added to Emoji 4.0 in 2016.
U+1F6B6 U+200D U+2640 U+FE0F,🚶‍♀️,woman walking,woman-walking,"A person standing upright. Commonly used to convey awkwardness, particularly on TikTok. Similar in appearance to 🚶 Person Walking, but shown facing forward and without any motion implied.",-,Person Standing was approved as part of Unicode 12.0 in 2019 under the name “Standing Person” and added to Emoji 12.0 in 2019.
U+1F9CD,🧍,person standing,person-standing,The male version of the 🚶 Pedestrian emoji. Currently identical in appearance to the non-gendered base emoji.,"The Man Walking emoji is a ZWJ sequence combining 🚶 Person Walking, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Walking was added to Emoji 4.0 in 2016.
U+1F9CD U+200D U+2642 U+FE0F,🧍‍♂️,man standing,man-standing,"A man standing upright. Commonly used to convey awkwardness, particularly on TikTok. Similar in appearance to 🚶‍♂️ Man Walking, but shown facing forward and without any motion implied.","The Man Standing emoji is a ZWJ sequence combining 🧍 Person Standing, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Standing was added to Emoji 12.0 in 2019.
U+1F9CD U+200D U+2640 U+FE0F,🧍‍♀️,woman standing,woman-standing,"A person standing upright. Commonly used to convey awkwardness, particularly on TikTok. Similar in appearance to 🚶‍♀️ Woman Walking, but shown facing forward and without any motion implied.","The Woman Standing emoji is a ZWJ sequence combining 🧍 Person Standing, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Standing was added to Emoji 12.0 in 2019.
U+1F9CE,🧎,person kneeling,person-kneeling,-,"The Man Kneeling emoji is a ZWJ sequence combining 🧎 Person Kneeling, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Kneeling was added to Emoji 12.0 in 2019.
U+1F9CE U+200D U+2642 U+FE0F,🧎‍♂️,man kneeling,man-kneeling,"A person kneeling on both knees. May be used to represent someone in prayer, or a person resting on the floor. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Kneeling was approved as part of Unicode 12.0 in 2019 under the name “Kneeling Person” and added to Emoji 12.0 in 2019.
U+1F9CE U+200D U+2640 U+FE0F,🧎‍♀️,woman kneeling,woman-kneeling,-,"The Woman Kneeling emoji is a ZWJ sequence combining 🧎 Person Kneeling, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Kneeling was added to Emoji 12.0 in 2019.
U+1F9D1 U+200D U+1F9AF,🧑‍🦯,person with white cane,person-with-white-cane,-,"The Person with White Cane emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🦯 White Cane.These display as a single emoji on supported platforms.",Person with White Cane was added to Emoji 12.1 in 2019.
U+1F468 U+200D U+1F9AF,👨‍🦯,man with white cane,man-with-white-cane,-,"The Man with White Cane emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 🦯 White Cane.These display as a single emoji on supported platforms.",Man with White Cane was added to Emoji 12.0 in 2019.
U+1F469 U+200D U+1F9AF,👩‍🦯,woman with white cane,woman-with-white-cane,-,"The Woman with White Cane emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner and 🦯 White Cane.These display as a single emoji on supported platforms.",Woman with White Cane was added to Emoji 12.0 in 2019.
U+1F9D1 U+200D U+1F9BC,🧑‍🦼,person in motorized wheelchair,person-in-motorized-wheelchair,-,"The Person in Motorized Wheelchair emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🦼 Motorized Wheelchair.These display as a single emoji on supported platforms.",Person in Motorized Wheelchair was added to Emoji 12.1 in 2019.
U+1F468 U+200D U+1F9BC,👨‍🦼,man in motorized wheelchair,man-in-motorized-wheelchair,-,"The Man in Motorized Wheelchair emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 🦼 Motorized Wheelchair.These display as a single emoji on supported platforms.",Man in Motorized Wheelchair was added to Emoji 12.0 in 2019.
U+1F469 U+200D U+1F9BC,👩‍🦼,woman in motorized wheelchair,woman-in-motorized-wheelchair,-,"The Woman in Motorized Wheelchair emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner and 🦼 Motorized Wheelchair.These display as a single emoji on supported platforms.",Woman in Motorized Wheelchair was added to Emoji 12.0 in 2019.
U+1F9D1 U+200D U+1F9BD,🧑‍🦽,person in manual wheelchair,person-in-manual-wheelchair,-,"The Person in Manual Wheelchair emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🦽 Manual Wheelchair.These display as a single emoji on supported platforms.",Person in Manual Wheelchair was added to Emoji 12.1 in 2019.
U+1F468 U+200D U+1F9BD,👨‍🦽,man in manual wheelchair,man-in-manual-wheelchair,-,"The Man in Manual Wheelchair emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 🦽 Manual Wheelchair.These display as a single emoji on supported platforms.",Man in Manual Wheelchair was added to Emoji 12.0 in 2019.
U+1F469 U+200D U+1F9BD,👩‍🦽,woman in manual wheelchair,woman-in-manual-wheelchair,-,"The Woman in Manual Wheelchair emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner and 🦽 Manual Wheelchair.These display as a single emoji on supported platforms.",Woman in Manual Wheelchair was added to Emoji 12.0 in 2019.
U+1F3C3,🏃,person running,person-running,"A person running, with a large stride and arms outstretched. May be wearing a running shirt. This emoji does not specify a gender, but is shown as a man on most platforms. See also: 🏃‍♀️ Woman Running or 🏃‍♂️ Man Running. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Running was approved as part of Unicode 6.0 in 2010 under the name “Runner” and added to Emoji 1.0 in 2015.
U+1F3C3 U+200D U+2642 U+FE0F,🏃‍♂️,man running,man-running,The male version of the 🏃 Runner emoji. Currently identical in appearance to the non-gendered base emoji.,"The Man Running emoji is a ZWJ sequence combining 🏃 Person Running, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Running was added to Emoji 4.0 in 2016.
U+1F3C3 U+200D U+2640 U+FE0F,🏃‍♀️,woman running,woman-running,The female version of the 🏃 Runner emoji.,"The Woman Running emoji is a ZWJ sequence combining 🏃 Person Running, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Running was added to Emoji 4.0 in 2016.
U+1F483,💃,woman dancing,woman-dancing,"A person dancing, most commonly displayed as woman with one arm raised wearing a red dress, while dancing the salsa or flamenco. Often used to represent a sense of fun or as a positive affirmation, e.g. ""great! 💃"" Microsoft previously displayed this emoji as stick figure, and Samsung has displayed this over various releases as a white boy, black boy, and white girl.",-,"This emoji did not originally specify a gender, but was canonically deemed a woman when the 🕺 Man Dancing emoji was approved. Google previously displayed this emoji as a man, then a gender-neutral blob character (in keeping with guidelines at the time). Woman Dancing was approved as part of Unicode 6.0 in 2010 under the name “Dancer” and added to Emoji 1.0 in 2015."
U+1F57A,🕺,man dancing,man-dancing,"A man dancing, added as a gender pair for the 💃 Woman Dancing. Shown on most platforms in a 70s-era suit, and one hand in the air in a disco-dancing style.",-,Man Dancing was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.
U+1F574,🕴,person in suit levitating,person-in-suit-levitating,"A person wearing a suit, hovering above the ground with a shadow displayed beneath them. Generally shown wearing a fedora or similar style of hat. This character was originally introduced into the Webdings font as an “exclamation mark in the style of the rude boy logo found on records by The Specials"". This levitating man was known as Walt Jabsco.",-,Person in Suit Levitating was approved as part of Unicode 7.0 in 2014 under the name “Man in Business Suit Levitating” and added to Emoji 1.0 in 2015.
U+1F46F,👯,people with bunny ears,people-with-bunny-ears,The male version of the 👯 Woman With Bunny Ears emoji.,"The Men with Bunny Ears emoji is a ZWJ sequence combining 👯 People with Bunny Ears, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Men with Bunny Ears was added to Emoji 4.0 in 2016.
U+1F46F U+200D U+2642 U+FE0F,👯‍♂️,men with bunny ears,men-with-bunny-ears,A female version of the 👯 People With Bunny Ears emoji.,"The Women with Bunny Ears emoji is a ZWJ sequence combining 👯 People with Bunny Ears, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Women with Bunny Ears was added to Emoji 4.0 in 2016.
U+1F46F U+200D U+2640 U+FE0F,👯‍♀️,women with bunny ears,women-with-bunny-ears,"An iteration of the Playboy Bunny known in Japan as a Bunny Girl. Usually depicted as an attractive woman  wearing bunny ears; a bunny girl can also be seen in anime as a hybrid human/animal known as Kemonomimi. Some versions of this emoji, such as Apple’s, display two girls dancing, each wearing a leotard and bunny ears. Other interpretations show the face of one woman wearing bunny ears. The two-person version of this emoji is often used as a display of friendship, fun, or ""let's party"". 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,People with Bunny Ears was approved as part of Unicode 6.0 in 2010 under the name “Woman with Bunny Ears” and added to Emoji 1.0 in 2015.
U+1F9D6,🧖,person in steamy room,person-in-steamy-room,"A person in a sauna, usually with a towel or robe and sometimes holding a ladle for pouring water on hot stones to create the steamy environment. Popular in Finland, where people sauna in the nude. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person in Steamy Room was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.
U+1F9D6 U+200D U+2642 U+FE0F,🧖‍♂️,man in steamy room,man-in-steamy-room,-,"The Man in Steamy Room emoji is a ZWJ sequence combining 🧖 Person in Steamy Room, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man in Steamy Room was added to Emoji 5.0 in 2017.
U+1F9D6 U+200D U+2640 U+FE0F,🧖‍♀️,woman in steamy room,woman-in-steamy-room,-,"The Woman in Steamy Room emoji is a ZWJ sequence combining 🧖 Person in Steamy Room, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman in Steamy Room was added to Emoji 5.0 in 2017.
U+1F9D7,🧗,person climbing,person-climbing,"A rock climber, shown climbing up a rock formation. Some platforms show the climber with a helmet and/or rope. The Emojipedia Sample image was created with assistance from World Champion Rock Climber Sasha DiGiulian. Variations exist for 🧗‍♀️ Woman Climbing and 🧗‍♂️ Man Climbing. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Climbing was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.
U+1F9D7 U+200D U+2642 U+FE0F,🧗‍♂️,man climbing,man-climbing,"A male rock climber, shown climbing up a rock formation. Some platforms show the climber with a helmet, and/or rope. Variations exist for 🧗‍♀️ Woman Climbing and 🧗 Person Climbing.","The Man Climbing emoji is a ZWJ sequence combining 🧗 Person Climbing, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Climbing was added to Emoji 5.0 in 2017.
U+1F9D7 U+200D U+2640 U+FE0F,🧗‍♀️,woman climbing,woman-climbing,"A female rock climber, shown climbing up a rock formation. Some platforms show the climber with a helmet, and/or rope. Variations exist for 🧗‍♂️ Man Climbing and 🧗 Person Climbing.","The Woman Climbing emoji is a ZWJ sequence combining 🧗 Person Climbing, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Climbing was added to Emoji 5.0 in 2017.
U+1F93A,🤺,person fencing,person-fencing,"A person shown in the sport of fencing, with a Rapier-style sword, mask, and protective clothing.",-,Person Fencing was approved as part of Unicode 9.0 in 2016 under the name “Fencer” and added to Emoji 3.0 in 2016.
U+1F3C7,🏇,horse racing,horse-racing,"A jockey riding a horse in a horse race. Shown riding to the left of screen on all major platforms. Emoji modifiers change the skin tone of the jockey on some platforms, which can be difficult to discern at small sizes.",-,Horse Racing was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+26F7,⛷,skier,skier,"A person downhill-skiiing. Displayed with poles and skis, generally wearing a mask. Platforms vary in display of scarf, helmet, and color of clothing. No gendered options are provided for this emoji. Skin tones support is not recommended for this emoji, but this is supported by some platforms.",-,Skier was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015.
U+1F3C2,🏂,snowboarder,snowboarder,"A person swinging a golf club, attempting to hit a golf ball toward the flag on the green. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Golfing was approved as part of Unicode 7.0 in 2014 under the name “Golfer” and added to Emoji 1.0 in 2015.
U+1F3CC,🏌,person golfing,person-golfing,A person snowboarding downhill at a ski resort. Wearing clothing designed for cold climates.,-,Snowboarder was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F3CC U+FE0F U+200D U+2642 U+FE0F,🏌️‍♂️,man golfing,man-golfing,The male version of the 🏌 Golfer emoji. Currently identical in appearance to the non-gendered base emoji.,"The Man Golfing emoji is a ZWJ sequence combining 🏌️ Person Golfing, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Golfing was added to Emoji 4.0 in 2016.
U+1F3CC U+FE0F U+200D U+2640 U+FE0F,🏌️‍♀️,woman golfing,woman-golfing,The female version of the 🏌 Golfer emoji.,"The Woman Golfing emoji is a ZWJ sequence combining 🏌️ Person Golfing, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Golfing was added to Emoji 4.0 in 2016.
U+1F3C4,🏄,person surfing,person-surfing,The female version of the 🏄 Surfer emoji.,"The Woman Surfing emoji is a ZWJ sequence combining 🏄 Person Surfing, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Surfing was added to Emoji 4.0 in 2016.
U+1F3C4 U+200D U+2642 U+FE0F,🏄‍♂️,man surfing,man-surfing,The male version of the 🏄 Surfer emoji. Currently identical in appearance to the non-gendered base emoji.,"The Man Surfing emoji is a ZWJ sequence combining 🏄 Person Surfing, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Surfing was added to Emoji 4.0 in 2016.
U+1F3C4 U+200D U+2640 U+FE0F,🏄‍♀️,woman surfing,woman-surfing,"A person on a surfboard, riding on a wave in the ocean. Wears a wetsuit or board shorts in most versions. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Surfing was approved as part of Unicode 6.0 in 2010 under the name “Surfer” and added to Emoji 1.0 in 2015.
U+1F6A3,🚣,person rowing boat,person-rowing-boat,"A small rowboat suitable for a small number of people. Couples or families sometimes hire these as an activity on calm waters. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Rowing Boat was approved as part of Unicode 6.0 in 2010 under the name “Rowboat” and added to Emoji 1.0 in 2015.
U+1F6A3 U+200D U+2642 U+FE0F,🚣‍♂️,man rowing boat,man-rowing-boat,The male version of the 🚣 Rowboat emoji. Currently identical in appearance to the non-gendered base emoji.,"The Man Rowing Boat emoji is a ZWJ sequence combining 🚣 Person Rowing Boat, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Rowing Boat was added to Emoji 4.0 in 2016.
U+1F6A3 U+200D U+2640 U+FE0F,🚣‍♀️,woman rowing boat,woman-rowing-boat,The female version of the 🚣 Rowboat emoji.,"The Woman Rowing Boat emoji is a ZWJ sequence combining 🚣 Person Rowing Boat, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Rowing Boat was added to Emoji 4.0 in 2016.
U+1F3CA,🏊,person swimming,person-swimming,"A person swimming in a pool, the ocean, or another body of water. Lacked goggles on prior versions of iOS. Swims facing to the left of screen on all major platforms. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Swimming was approved as part of Unicode 6.0 in 2010 under the name “Swimmer” and added to Emoji 1.0 in 2015.
U+1F3CA U+200D U+2642 U+FE0F,🏊‍♂️,man swimming,man-swimming,The female version of the 🏊 Swimmer emoji.,"The Woman Swimming emoji is a ZWJ sequence combining 🏊 Person Swimming, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Swimming was added to Emoji 4.0 in 2016.
U+1F3CA U+200D U+2640 U+FE0F,🏊‍♀️,woman swimming,woman-swimming,The male version of the 🏊 Swimmer emoji. Currently identical in appearance to the non-gendered base emoji.,"The Man Swimming emoji is a ZWJ sequence combining 🏊 Person Swimming, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Swimming was added to Emoji 4.0 in 2016.
U+26F9,⛹,person bouncing ball,person-bouncing-ball,"A person with a ball, which is generally displayed as a basketballer running and dribbling (bouncing) the basketball. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Bouncing Ball was approved as part of Unicode 5.2 in 2009 under the name “Person with Ball” and added to Emoji 1.0 in 2015.
U+26F9 U+FE0F U+200D U+2642 U+FE0F,⛹️‍♂️,man bouncing ball,man-bouncing-ball,The male version of the ⛹ Person With Ball emoji. Currently identical in appearance to the non-gendered base emoji.,"The Man Bouncing Ball emoji is a ZWJ sequence combining ⛹️ Person Bouncing Ball, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Bouncing Ball was added to Emoji 4.0 in 2016.
U+26F9 U+FE0F U+200D U+2640 U+FE0F,⛹️‍♀️,woman bouncing ball,woman-bouncing-ball,The female version of the ⛹ Person With Ball emoji.,"The Woman Bouncing Ball emoji is a ZWJ sequence combining ⛹️ Person Bouncing Ball, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Bouncing Ball was added to Emoji 4.0 in 2016.
U+1F3CB,🏋,person lifting weights,person-lifting-weights,The male version of the 🏋 Weight Lifter emoji. Currently identical in appearance to the non-gendered base emoji.,"The Man Lifting Weights emoji is a ZWJ sequence combining 🏋️ Person Lifting Weights, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Lifting Weights was added to Emoji 4.0 in 2016.
U+1F3CB U+FE0F U+200D U+2642 U+FE0F,🏋️‍♂️,man lifting weights,man-lifting-weights,"A person lifting a barbell loaded with weights above their head. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Lifting Weights was approved as part of Unicode 7.0 in 2014 under the name “Weight Lifter” and added to Emoji 1.0 in 2015.
U+1F3CB U+FE0F U+200D U+2640 U+FE0F,🏋️‍♀️,woman lifting weights,woman-lifting-weights,The female version of the 🏋 Weight Lifter emoji.,"The Woman Lifting Weights emoji is a ZWJ sequence combining 🏋️ Person Lifting Weights, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Lifting Weights was added to Emoji 4.0 in 2016.
U+1F6B4,🚴,person biking,person-biking,"A person riding a bicycle for leisure, sport or transport. Intended to be gender-neutral. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Biking was approved as part of Unicode 6.0 in 2010 under the name “Bicyclist” and added to Emoji 1.0 in 2015.
U+1F6B4 U+200D U+2642 U+FE0F,🚴‍♂️,man biking,man-biking,The male version of the 🚴 Bicyclist emoji. Currently identical in appearance to the non-gendered base emoji.,"The Man Biking emoji is a ZWJ sequence combining 🚴 Person Biking, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Biking was added to Emoji 4.0 in 2016.
U+1F6B4 U+200D U+2640 U+FE0F,🚴‍♀️,woman biking,woman-biking,The female version of the 🚴 Bicyclist emoji.,"The Woman Biking emoji is a ZWJ sequence combining 🚴 Person Biking, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Biking was added to Emoji 4.0 in 2016.
U+1F6B5,🚵,person mountain biking,person-mountain-biking,"A person (cyclist) who rides a mountain bike: a type of off-road bicycle. Intended to be gender-neutral. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Mountain Biking was approved as part of Unicode 6.0 in 2010 under the name “Mountain Bicyclist” and added to Emoji 1.0 in 2015.
U+1F6B5 U+200D U+2642 U+FE0F,🚵‍♂️,man mountain biking,man-mountain-biking,The male version of the 🚵 Mountain Bicyclist emoji. Currently identical in appearance to the non-gendered base emoji.,"The Man Mountain Biking emoji is a ZWJ sequence combining 🚵 Person Mountain Biking, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Mountain Biking was added to Emoji 4.0 in 2016.
U+1F6B5 U+200D U+2640 U+FE0F,🚵‍♀️,woman mountain biking,woman-mountain-biking,The female version of the 🚵 Mountain Bicyclist emoji.,"The Woman Mountain Biking emoji is a ZWJ sequence combining 🚵 Person Mountain Biking, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Mountain Biking was added to Emoji 4.0 in 2016.
U+1F938,🤸,person cartwheeling,person-cartwheeling,"A person doing a cartwheel, representing the sport of gymnastics. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Cartwheeling was approved as part of Unicode 9.0 in 2016 under the name “Person Doing Cartwheel” and added to Emoji 3.0 in 2016.
U+1F938 U+200D U+2642 U+FE0F,🤸‍♂️,man cartwheeling,man-cartwheeling,-,"The Man Cartwheeling emoji is a ZWJ sequence combining 🤸 Person Cartwheeling, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Cartwheeling was added to Emoji 4.0 in 2016.
U+1F938 U+200D U+2640 U+FE0F,🤸‍♀️,woman cartwheeling,woman-cartwheeling,-,"The Woman Cartwheeling emoji is a ZWJ sequence combining 🤸 Person Cartwheeling, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Cartwheeling was added to Emoji 4.0 in 2016.
U+1F93C,🤼,people wrestling,people-wrestling,-,"The Men Wrestling emoji is a ZWJ sequence combining 🤼 People Wrestling, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Men Wrestling was added to Emoji 4.0 in 2016.
U+1F93C U+200D U+2642 U+FE0F,🤼‍♂️,men wrestling,men-wrestling,"Two people in the sport of wrestling. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,People Wrestling was approved as part of Unicode 9.0 in 2016 under the name “Wrestlers” and added to Emoji 3.0 in 2016.
U+1F93C U+200D U+2640 U+FE0F,🤼‍♀️,women wrestling,women-wrestling,"A person shown in water with a ball, playing the sport of water polo.  🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Playing Water Polo was approved as part of Unicode 9.0 in 2016 under the name “Water Polo” and added to Emoji 3.0 in 2016.
U+1F93D,🤽,person playing water polo,person-playing-water-polo,-,"The Women Wrestling emoji is a ZWJ sequence combining 🤼 People Wrestling, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Women Wrestling was added to Emoji 4.0 in 2016.
U+1F93D U+200D U+2642 U+FE0F,🤽‍♂️,man playing water polo,man-playing-water-polo,-,"The Man Playing Water Polo emoji is a ZWJ sequence combining 🤽 Person Playing Water Polo, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Playing Water Polo was added to Emoji 4.0 in 2016.
U+1F93D U+200D U+2640 U+FE0F,🤽‍♀️,woman playing water polo,woman-playing-water-polo,-,"The Woman Playing Water Polo emoji is a ZWJ sequence combining 🤽 Person Playing Water Polo, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Playing Water Polo was added to Emoji 4.0 in 2016.
U+1F93E,🤾,person playing handball,person-playing-handball,-,"The Man Playing Handball emoji is a ZWJ sequence combining 🤾 Person Playing Handball, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Playing Handball was added to Emoji 4.0 in 2016.
U+1F93E U+200D U+2642 U+FE0F,🤾‍♂️,man playing handball,man-playing-handball,"🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Playing Handball was approved as part of Unicode 9.0 in 2016 under the name “Handball” and added to Emoji 3.0 in 2016.
U+1F93E U+200D U+2640 U+FE0F,🤾‍♀️,woman playing handball,woman-playing-handball,-,"The Woman Playing Handball emoji is a ZWJ sequence combining 🤾 Person Playing Handball, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Playing Handball was added to Emoji 4.0 in 2016.
U+1F939,🤹,person juggling,person-juggling,-,"The Man Juggling emoji is a ZWJ sequence combining 🤹 Person Juggling, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man Juggling was added to Emoji 4.0 in 2016.
U+1F939 U+200D U+2642 U+FE0F,🤹‍♂️,man juggling,man-juggling,"A person juggling between three and five colored balls. The person shown in this emoji wears a hat on most major platforms. Early Twitter and Facebook designs previously displayed this emoji as a pair of disembodied hands juggling three colored balls. 🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person Juggling was approved as part of Unicode 9.0 in 2016 under the name “Juggling” and added to Emoji 3.0 in 2016.
U+1F939 U+200D U+2640 U+FE0F,🤹‍♀️,woman juggling,woman-juggling,-,"The Woman Juggling emoji is a ZWJ sequence combining 🤹 Person Juggling, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman Juggling was added to Emoji 4.0 in 2016.
U+1F9D8,🧘,person in lotus position,person-in-lotus-position,"🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms.",-,Person in Lotus Position was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.
U+1F9D8 U+200D U+2642 U+FE0F,🧘‍♂️,man in lotus position,man-in-lotus-position,-,"The Man in Lotus Position emoji is a ZWJ sequence combining 🧘 Person in Lotus Position, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Man in Lotus Position was added to Emoji 5.0 in 2017.
U+1F9D8 U+200D U+2640 U+FE0F,🧘‍♀️,woman in lotus position,woman-in-lotus-position,-,"The Woman in Lotus Position emoji is a ZWJ sequence combining 🧘 Person in Lotus Position, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Woman in Lotus Position was added to Emoji 5.0 in 2017.
