name,link,definition,origin
♋ Cancer emoji,https://www.dictionary.com/e/emoji/cancer-emoji/,"The Cancer emoji ♋ depicts the sign of Cancer, a constellation and one of the 12 zodiac signs in astrology. It is commonly used to represent Cancer, people whose zodiac sign is Cancer, and astrology in general. According to astrology, people who were born between June 21 and July 22 have Cancer as their sign. For this reason, you are more likely to see the Cancer emoji ♋ used during this time as people celebrate their birthdays. Cancer is commonly known as The Crab (Cancer is Latin for “crab”). The Cancer emoji ♋ usually depicts the symbol of Cancer, which resembles two 6’s or 9’s turned sideways. The symbol is thought to represent the claws of a crab.","The Cancer emoji ♋ was approved under Unicode 1.1 in 1993. On most major platforms, the emoji resembles the symbol of Cancer (a glyph that supposedly resembles the claws of a crab) colored white imposed on a geometric shape. On Apple, Samsung, WhatsApp, Twitter, and Facebook, the Cancer symbol is on a purple square with rounded corners. On Microsoft, the purple square has sharp corners and is surrounded by a black outline. On Google, the Cancer symbol is instead on a yellow circle. On Twitter, many people put the emoji representing their star sign next to their usernames in order to identify themselves. As is the case with all of the other zodiac signs, this is also true for the Cancer emoji ♋. When the Cancer emoji ♋ is used, it is often accompanied by the word Cancer itself. This is likely done to help identify what the symbol means, as it may not be familiar even to fans of astrology. Cancer is commonly known as The Crab and so the Cancer emoji ♋ is frequently used alongside the Crab emoji 🦀."
🇺🇸 Flag of the United States emoji,https://www.dictionary.com/e/emoji/flag-of-the-united-states-emoji/,"The Flag of the United States emoji 🇺🇸 displays the flag of the United States of America (USA). It is commonly used to represent the United States, Americans, things from or travel to the United States, American patriotism, American nationalism, and support of American values. The red, white, and blue flag of the United States depicts 13 stripes representing the original 13 colonies with the upper left corner emblazoned with 50 stars to represent the modern 50 states. While the Flag of the United States emoji 🇺🇸 is commonly used every day, it increases in usage during American holidays. This includes Independence Day (July 4), Flag Day (June 14), Memorial Day (the last Monday in May), Veterans Day (November 11), and Presidents’ Day (third Monday in February).","The Flag of the United States emoji 🇺🇸, also popularly called American Flag emoji, was added to Emoji 1.0 in 2015. On platforms that support it, the emoji is created by combining Regional Indicator Symbol Letter U emoji 🇺 and Regional Indicator Symbol Letter S emoji 🇸. On unsupported devices, the emoji appears as a capitalized “US.” On most major platforms, the Flag of the United States emoji 🇺🇸 depicts an American flag waving in the wind. On Twitter, the emoji depicts the flag (which only has 18 stars) as a rectangle with rounded corners. Unsurprisingly, the Flag of the United States emoji 🇺🇸 is an extremely popular emoji among Americans. As is the case in most other countries, the flag is seen as a national symbol and very many Americans are proud of it. The Flag of the United States emoji 🇺🇸 is often used by Americans to express pride in their country and the American values of liberty and freedom. American politicians are especially likely to use the Flag of the United States emoji 🇺🇸 on social media. Some other common reasons the Flag of the United States emoji 🇺🇸 is used include commemorating American holidays, showing support of American athletes or teams in international competitions, discussing American history, and celebrating American achievements."
🐕 Dog emoji,https://www.dictionary.com/e/emoji/dog-emoji/,"The Dog emoji 🐕 depicts a dog, the world’s most popular pet. It is commonly used to represent dogs, puppies, and pets in general. It also appears alongside the many dog-based metaphors and idioms that are commonly used. This emoji is frequently used alongside the Dog Face emoji 🐶. On August 26, the Dog emoji 🐕 is used with the hashtag #NationalDogDay to commemorate National Dog Day. The Dog emoji 🐕 is also used during the Westminster Kennel Club Dog Show, commonly called the Westminster Dog Show, usually held in February each year (June 12–13 in 2021).","The Dog emoji 🐕 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji resembles a dog of varying breed with a curled tail facing to the left. Depending on the platform, the dog may be realistic or stylized. The Google and WhatsApp versions of the emoji have the dog turned slightly facing the viewer. The Apple and Facebook version of the emoji appear to depict a brown-furred Shiba Inu, the dog breed used in the popular Doge meme, which inspired Dogecoin.Dogs are the most popular pet in the world, which means the Dog emoji 🐕 is an incredibly common and versatile emoji. It largely overlaps in use with the Dog Face emoji 🐶 and the two emoji are often used together. Both emoji are often used in figures of speech and idioms that reference dogs (such as treat someone like a dog or You can’t teach an old dog new tricks). "
🐶 Dog Face emoji,https://www.dictionary.com/e/emoji/dog-face-emoji/,"The Dog Face emoji 🐶 depicts the face of a dog, the world’s most popular pet. It is commonly used to refer to dogs, puppies, dog-based idioms and metaphors, and pets in general. It is frequently used alongside the Dog emoji 🐕. The Dog Face emoji 🐶 is often  used with the hashtag #NationalDogDay on August 26, which is National Dog Day and during the Westminster Kennel Club Dog Show, commonly called the Westminster Dog Show, usually held in February each year (June 12–13 in 2021).","The Dog Face emoji 🐶, also popularly called Dog emoji despite the fact there actually is a Dog emoji 🐕, was approved under Unicode 6.0 in 2010. On most major platforms, the emoji portrays the stylized face of a dog sticking its tongue out as viewed from the front. The coloration and breed of the dog varies by platform. On Facebook, the emoji displays a more realistic depiction of a Shiba Inu, the dog breed used in the popular Doge meme, which inspired Dogecoin. The Google, Samsung, WhatsApp, Twitter, and Facebook versions of the emoji appear to use the same dog that is depicted in each platform’s version of the Dog emoji 🐕.   Dogs are incredibly popular animals and so the Dog Face emoji 🐶 and Dog emoji 🐕 are used every single day, often together. These two emoji are used to refer to real and fictional dogs and puppies of all breeds, and may be accompanied by cute photos of dogs.  Like the Dog emoji 🐕, the Dog Face emoji 🐶 is also used to metaphorically refer to dogs when using common idiomatic expressions such as Every dog has its day and You can’t teach an old dog new tricks."
🌊 Water Wave emoji,https://www.dictionary.com/e/emoji/water-wave-emoji/,"The Water Wave emoji 🌊 depicts a curled wave of water moving toward the right. It is commonly used to represent various bodies of water (especially oceans), the beach, water-based activities, and metaphorical waves. The Water Wave emoji 🌊 is also used alongside the hashtag #WorldOceansDay on June 8, which is World Oceans Day.","The Water Wave emoji 🌊 was approved under Unicode 6.0 in 2010. On most major platforms, the emoji resembles a crested wave topped with white foam curling to the right. The Twitter, Microsoft, and Facebook versions feature a single wave while the WhatsApp, Google, and Samsung version depict two. The Apple version of the emoji is the most unique and closely resembles an iconic wave depicted in Under the Wave off Kanagawa, an 1830s woodblock print by Japanese artist Katsushika Hokusai."
🏒 Ice Hockey emoji,https://www.dictionary.com/e/emoji/ice-hockey-emoji/,The Field Hockey emoji 🏑 portrays a stick and ball that is used in the sport of field hockey. It is commonly used to represent field hockey and similar outdoor sports that use a stick and ball.,"The Field Hockey emoji 🏑, also popularly called Hockey emoji outside of the United States and Canada, was approved under Unicode 8.0 in 2015 as Field Hockey Stick and Ball. On most major platforms, the emoji depicts a field hockey stick facing towards the left next to a field hockey ball. The color of the ball and appearance of the stick varies depending on the platform. On WhatsApp, the stick is instead facing towards the right. On Twitter, the handle of the stick is not shown. The Field Hockey emoji 🏑 can be confused with the Ice Hockey emoji 🏒. While field hockey is played on a field with a ball, ice hockey is played on ice with a puck. However, due to their similar appearances, uses of the two emoji may sometimes overlap or the two emoji may sometimes used to together. While both field hockey and ice hockey can be referred to as hockey, this is less commonly done in North America. In the United States, field hockey is less popular than ice hockey. Typically, only international or collegiate field hockey is covered by American media. While field hockey is more popular in Canada than it is in the US, ice hockey is the national winter sport of Canada and is significantly more popular in that country as well. Because of this, the Field Hockey emoji 🏑 appears to be more commonly used in Europe, Asia, and Africa. Belgium, Spain, India, and Argentina have some of the highest-ranked field hockey teams in the world."
🏑 Field Hockey emoji,https://www.dictionary.com/e/emoji/field-hockey-emoji/,"The Woman Basketball Player emoji ⛹️‍♀️ depicts a woman dribbling a basketball. It is commonly used to represent basketball, the Women’s National Basketball Association (WNBA) and women’s NCAA basketball, or female basketball players. The emoji is also often used more generally to refer to sports and exercise. The Woman Basketball Player emoji ⛹️‍♀️ is often used alongside the Basketball emoji 🏀. It shares many uses with the Basketball Player emoji ⛹️ and Man Basketball Player emoji ⛹️‍♂️, and the emoji are frequently used together.","The Woman Basketball Player emoji ⛹️‍♀️, which is called Woman Bouncing Ball by Unicode, was added to Emoji 4.0 in 2016. On supported platforms, the Woman Basketball Player emoji ⛹️‍♀️ is created by combining the Basketball Player emoji ⛹️ with the Female Sign emoji ♀️. On most major platforms, the emoji depicts a woman with a ponytail dribbling a basketball towards the left. On most platforms, the woman is wearing a tank top and shorts of different colors depending on the platform. The Apple, Samsung, and Microsoft versions of the emoji have the player wearing a headband. The Twitter and Microsoft versions depict a faceless woman. Unlike other major platforms, the Microsoft version of the emoji depicts a player facing the viewer while holding a basketball against their left side. The emoji can be customized with various skin tones. Unsurprisingly, the Woman Basketball Player emoji ⛹️‍♀️ is often used to refer to basketball or female basketball players. It is used both to refer to women playing in the WNBA and other adult basketball leagues as well as girls playing high school basketball or youth sports. The use of Woman Basketball Player emoji ⛹️‍♀️ overlaps heavily with the Man Basketball Player emoji ⛹️‍♂️. Which emoji is used is up to the preference of the user, but the two emoji are often used together when referring to basketball in general or to youth sports."
⛹️‍♀️ Woman Basketball Player emoji,https://www.dictionary.com/e/emoji/woman-basketball-player-emoji/,"The Ice Hockey emoji 🏒 portrays a stick and puck used in the sport of ice hockey. It is commonly used to represent the sport of ice hockey, the National Hockey League (NHL), other winter and stick-and-ball sports, and the country of Canada. Ice hockey is the national winter sport of Canada and is especially popular in the country. The Ice Hockey emoji 🏒 sees increased usage during the NHL season, the NHL playoffs, and during the Winter Olympics.","The Ice Hockey emoji 🏒, also commonly called Hockey emoji, was approved under Unicode 8.0 in 2015 as Ice Hockey Stick and Puck. On most major platforms, the emoji depicts an ice hockey stick with a red handle and white stick tape next to an ice hockey puck. Depending on the platform, the emoji may appear realistic or be more stylized. On WhatsApp, the stick is facing towards the right while all other major platforms depict the stick facing towards the left. On Twitter, the stick’s handle is not shown. The WhatsApp, Twitter, and Google versions of the emoji have a stick with black stick tape. The Ice Hockey emoji 🏒 can be confused with the Field Hockey emoji 🏑. Ice hockey is played with a puck on ice, and field hockey is played with a ball on a field. However, due to their similar appearances, uses of the two emoji may sometimes overlap or the two emoji may sometimes used to together. Both ice hockey and field hockey can be referred to as just hockey. In the United States, professional major league hockey is organized by the National Hockey League. The Ice Hockey emoji 🏒 sees a significant increase in usage during the NHL season, especially during the playoffs. During this time, the Ice Hockey emoji 🏒 is often used alongside other emoji used to represent NHL teams, such as the Maple Leaf emoji 🍁 for the Toronto Maple Leafs or the Penguin emoji 🐧 for the Pittsburgh Penguins. More generally, the Ice Hockey emoji 🏒 is used alongside other wintery emoji such as the Snowflake emoji ❄️ or the Snowman emoji ☃️ to discuss winter, snow, and ice."
⛹️‍♂️ Man Basketball Player emoji,https://www.dictionary.com/e/emoji/man-basketball-player-emoji/,"The Man Basketball Player emoji ⛹️‍♂️ depicts a man dribbling a basketball. It is commonly used to represent basketball, the NBA and NCAA basketball, and male basketball players. The emoji is also often used more generally to refer to sports, exercise, and effort toward a goal. The Man Basketball Player emoji ⛹️‍♂️ is often used alongside the Basketball emoji 🏀. It shares many uses with the Basketball Player emoji ⛹️ and Woman Basketball Player emoji ⛹️‍♀️, and the emoji are frequently used together.","The Man Basketball Player emoji ⛹️‍♂️, which is called Man Bouncing Ball by Unicode, was added to Emoji 4.0 in 2016. On supported platforms, the Man Basketball Player emoji ⛹️‍♂️ is created by combining the Basketball Player emoji ⛹️ with the Male Sign emoji ♂️. On most major platforms, the emoji depicts a man dribbling a basketball towards the left. On most platforms, the man is wearing a tank top and shorts of different colors depending on the platform. The Apple, Samsung, and Microsoft versions of the emoji have the player wearing a headband. The Twitter and Microsoft versions depict a faceless man. Unlike other major platforms, the Microsoft version of the emoji depicts a player facing the viewer while holding a basketball against their left side. The emoji can be customized with various skin tones. Unsurprisingly, the Man Basketball Player emoji ⛹️‍♂️ is often used to refer to basketball or male basketball players. It is used especially during the NBA season and the annual March Madness collegiate basketball tournament. The use of Man Basketball Player emoji ⛹️‍♂️ overlaps heavily with the Woman Basketball Player emoji ⛹️‍♀️. Which emoji is used is up to the preference of the user, but the two emoji are often used together when referring to basketball in general or to youth sports."
⛹️ Basketball Player emoji,https://www.dictionary.com/e/emoji/basketball-player-emoji/,"The Basketball Player emoji ⛹️ depicts a person dribbling a basketball. It is commonly used to represent basketball, basketball players, the National Basketball Association (NBA) and Women’s National Basketball Association, and the yearly NCAA March Madness tournament. The emoji is also often used more generally to refer to sports and exercise. The Basketball Player emoji ⛹️ is often used alongside the Basketball emoji 🏀. It shares many uses with the Man Basketball Player emoji ⛹️‍♂️ and the Woman Basketball Player emoji.","The Basketball Player emoji ⛹️, which is called Person with Ball by the Unicode Consortium, was approved under Unicode 5.2 in 2009. On most major platforms, the emoji depicts a human being dribbling a basketball towards the left. On most platforms, the person is wearing a tank top and shorts of different colors depending on the platform. The Apple, Samsung, and Microsoft versions of the emoji have the person wearing a headband. The Twitter and Microsoft versions depict a faceless person. The Microsoft, WhatsApp, and Facebook versions of the emoji are identical to the Man Basketball Player emoji ⛹️‍♂️. Unlike other major platforms, the Microsoft version of the emoji depicts a person facing the viewer while holding a basketball against their left side. The emoji can be customized with various skin tones. Unsurprisingly, the Basketball Player emoji ⛹️ is often used to refer to basketball or basketball players. It is used to refer to both men’s and women’s basketball. It sees increased use during the NBA and WNBA seasons, as well as in March during the duration of the March Madness collegiate basketball tournament. Typically, emoji users tend to choose either the Woman Basketball Player emoji ⛹️‍♀️ or Man Basketball Player emoji ⛹️‍♂️ instead of the Basketball Player emoji ⛹️ when referring to themselves or a specific basketball league or player. However, all three of these emoji overlap heavily in usage and may be used together."
🧀 Cheese emoji,https://www.dictionary.com/e/emoji/cheese-emoji/,"The Cheese emoji 🧀 depicts a wedge of cheese. It is commonly used to represent cheese, mice and rats, money, and the state of Wisconsin and its football team, the Green Bay Packers. On January 20, the Cheese emoji 🧀 is used with the hashtag #CheeseLoversDay to commemorate Cheese Lovers Day, and it is used on June 4 to celebrate National Cheese Day with the hashtag #NationalCheeseDay.","The Cheese emoji 🧀, also popularly called Cheese Wedge emoji, was approved under Unicode 8.0 in 2015. On most major platforms, the emoji resembles a triangular wedge of yellow cheese with holes. On most platforms, the cheese wedge is pointed toward the left. The WhatsApp version is pointed to the right, and the Apple version has the cheese wedge lying on its side slanted toward the left. The Microsoft version has a bold black outline. Cheese is an incredibly popular food that is an ingredient in a large number of recipes. Unsurprisingly, the Cheese emoji 🧀 is used alongside other food emoji such as the Slice of Pizza emoji 🍕 and the Hamburger emoji 🍔. Because mice and rats are commonly depicted as cheese lovers, the Cheese emoji 🧀 is also often used alongside the Mouse emoji 🐁, the Rat emoji 🐀, and the Mouse Face emoji 🐭."
🗑️ Wastebasket emoji,https://www.dictionary.com/e/emoji/wastebasket-emoji/,"The Wastebasket emoji 🗑️ displays a wire-mesh wastebasket. It is commonly used to represent literal and figurative trash and garbage. The emoji is also sometimes used to convey various negative feelings, such as worthlessness or failure (e.g., feeling like trash). The Wastebasket emoji 🗑️ is occasionally used to refer to basketball (and combined with the Basketball emoji 🏀) due the emoji’s resemblance to the net of a basketball hoop as well sharing the word basket. The Wastebasket emoji 🗑️ is also combined with the Fire emoji 🔥 to represent the slang expression dumpster fire.","The Wastebasket emoji 🗑️ was approved under Unicode 7.0 in 2014. On most major platforms, the emoji resembles a silver or grey wire-mesh wastebasket. Depending on the platform, the wastebasket may be stylized or depicted realistically. The Apple and Twitter versions of the emoji depict the wastebasket as seen from the side. On all other major platforms, the wastebasket is viewed from an angle that shows the opening at the top. The Wastebasket emoji 🗑️ is often used to refer to actual trash or junk. It is also very common to use the emoji alongside metaphorical uses of “trash” or “garbage” as in feeling like trash or treating someone like trash. To this end, the emoji is combined with the Fire emoji 🔥 as a pictorial representation of dumpster fire, a slang expression meaning “a situation, person, or thing that is disastrous and out of control.” In 2016, the American Dialect Society voted dumpster fire as its Word of the Year, noting the prominent use of the emoji sequence 🗑🔥 on social media to represent the phrase that year. On Twitter especially, the Wastebasket emoji 🗑️ is often used to refer to basketball, often alongside the Basketball emoji 🏀. This is likely due to the fact the emoji highly resembles a basketball net when used on the platform as well as as the fact that they share the word basket."
🎾 Tennis Racquet and Ball emoji,https://www.dictionary.com/e/emoji/tennis-racquet-and-ball-emoji/,"The Tennis Racquet and Ball emoji 🎾 depicts a tennis racquet (also spelled racket) and tennis ball. It is commonly used to represent the sport of tennis and is also used more generally to refer to sports and athletics. The Tennis Racquet and Ball emoji 🎾 sees increased usage during major tennis tournaments such as the French Open (which started May 17, 2021), Australian Open, and Wimbledon.","The Tennis Racquet and Ball emoji 🎾, also popularly called Tennis emoji or Tennis Ball emoji, was approved under Unicode 6.0 in 2010. On most major platforms, the emoji depicts a tennis racquet leaning toward the right with a green tennis ball located next to the upper-left of the racquet. The racquet is purple on Google and Microsoft, orange on Samsung, and blue on Facebook. The Apple, WhatsApp, and Twitter versions of the emoji only depict a green tennis ball. The Tennis Racquet and Ball emoji 🎾 sees more usage during the summer months when the weather is nice enough in most places to play tennis in outdoor courts. Tennis is a fairly popular sport, so the Tennis Racquet and Ball emoji 🎾 is commonly used. It is also often used to refer to specific, popular tennis players such as the Williams sisters and Roger Federer. The word racquet is a variant of racket. Racket is predominantly used in the US and recognized by tennis organizations."
🎖️ Military Medal emoji,https://www.dictionary.com/e/emoji/military-medal-emoji/,"The Rainbow Flag emoji 🏳️‍🌈 portrays a rainbow flag, a flag with six stripes of the rainbow. This particular flag is used to represent the LGBTQ community and is used to express Pride in this community. Both the actual flag and the emoji depicting it are often referred to as the Pride Flag. The Rainbow Flag emoji 🏳️‍🌈 is used both by people who self-identify as LGBTQ as well as by their allies. While the Rainbow Flag emoji 🏳️‍🌈 is commonly used all of the time, its usage increases even more during Pride Month every year in June. On devices that do not support the Rainbow Flag emoji 🏳️‍🌈, it will instead appear as a sequence of its component emoji: the White Flag emoji 🏳️ followed by the Rainbow emoji 🌈.","The Rainbow Flag emoji 🏳️‍🌈, also popularly called Pride Flag emoji, was added to Emoji 4.0 in 2016. The emoji is a combination of the White Flag emoji 🏳️ and the Rainbow emoji 🌈. On most major platforms, the emoji depicts a flag waving in the wind that has, starting from the top, a red, orange, yellow, green, blue, and violet stripe. On Twitter, the flag resembles a rectangle with rounded corners. The Microsoft version of the emoji depicts the flag attached to a grey flag pole. On June 27, 2015, Noah Slater sent an email to the Unicode Consortium—the organization that approves new emoji—and requested that they officially add an emoji that depicted a rainbow flag. Slater referred to the flag as “a powerful and potent symbol of not only current gay rights struggles, but the history of gay rights in America” and provided evidence to the Consortium that the flag had been used to symbolize Gay Pride since the 1970s. Slater’s proposal gained wide support and the Rainbow Flag emoji 🏳️‍🌈 was officially approved in 2016. Prior to the addition of the Rainbow Flag emoji 🏳️‍🌈, the Rainbow emoji 🌈 was used (in terms of emoji) to symbolize Pride in reference to the flag. The Rainbow emoji 🌈 is still frequently used alongside the Rainbow Flag emoji 🏳️‍🌈. Since its approval in 2020, the Transgender Flag emoji 🏳️‍⚧️ has also frequently been used alongside the Rainbow Flag emoji 🏳️‍🌈 when a person identifies as a member of—or supports—both communities. The Rainbow Flag emoji 🏳️‍🌈 is also often used alongside many other emoji used to represent non-cishet couples such as the Two Men Holding Hands emoji 👬, the Kiss: Woman, Woman emoji 👩‍❤️‍💋‍👩, and the variations of the Couple with Heart emoji 💑. The flag that the Rainbow Flag emoji 🏳️‍🌈 depicts was created in 1978 by Gilbert Baker, who was commissioned to design the flag by famous politician and iconic gay rights activist Harvey Milk. Baker has said that designing the flag was the most important thing he ever did in his life. Baker’s original design had eight stripes, but the pink and indigo stripes were gradually removed over time. According to Baker’s website, the eight stripes of the original design of the flag represented sex (pink), life (red), healing (orange), sunlight (yellow), nature (green), magic (blue), serenity (indigo), and spirit (violet). In modern times, the rainbow flag is often said to symbolize the diversity within the LGBTQ community. Historically, rainbow flag have also been used a symbol of peace. Rainbow flags, past and present, have also been used a symbol for other causes around the world, such as to represent some Indigenous groups in South America. The Rainbow Flag emoji can also be used to symbolize and show support for these causes. However, the rainbow flag—and its emoji form—is most widely recognized and used as symbol of LGBTQ Pride."
🏳️‍🌈 Rainbow Flag emoji,https://www.dictionary.com/e/emoji/rainbow-flag-emoji/,"The Military Medal emoji 🎖️ depicts a medal and ribbon that resembles a fictional military decoration. It is commonly used to represent the military, soldiers, veterans, acts of heroism, and holidays that honor soldiers or veterans. Specifically, the Military Medal emoji 🎖️ sees increased usage on Veterans Day (November 11), Memorial Day (the last Monday in May), and Armed Services Day (the third Saturday in May).  The Military Medal emoji 🎖️ is also used more generally to refer to any kind of award or achievement. ","The Military Medal emoji 🎖️ was approved under Unicode 7.0 in 2014. On most major platforms, the emoji depicts a gold medal attached to a ribbon. The emoji doesn’t depict any real military honor, but slightly resembles actual decorations such as the Medal of Honor or the Silver Star.  On most major platforms, the ribbon is colored different shades of red, white, and blue with the specific arrangement and pattern varying by platform. The Facebook and Apple versions of the emoji depict a star-shaped medal. On all other major platforms, the medal is circular. On Google, WhatsApp, and Twitter, the medal has a star in the center.  The Military Medal emoji 🎖️ depicts a fictionalized military medal similar to those given to soldiers in real life and in popular culture depictions of the military. Because of this, the Military Medal emoji 🎖️ is often used to refer to real and fictional members of the military, acts of valor, or honorable achievements performed in the line of duty. Relatedly, the emoji is also used to honor and give gratitude to military veterans. More generally, the Military Medal emoji 🎖️ is used to refer to any award or impressive achievement. When used this way, the usage of the Military Medal emoji 🎖️ overlaps heavily with the Trophy emoji 🏆 and the Sports Medal emoji 🏅. "
🏁 Chequered Flag emoji,https://www.dictionary.com/e/emoji/chequered-flag-emoji/,"The Chequered Flag emoji 🏁 depicts a flag with a black-and-white checkerboard pattern. It is commonly used to represent vehicle racing, races in general, challenges, or accomplishments. The Chequered Flag emoji 🏁 is used more often during major NASCAR or Formula One races, such as the annual Daytona 500 race held in Florida. Note: British English uses the spelling chequered. US English uses the spelling checkered. The official Unicode name for the emoji uses the chequered spelling.","The Chequered Flag emoji 🏁, also popularly called Checkered Flag emoji or Racing Flag emoji, was approved under Unicode 6.0 in 2010. On most major platforms, the emoji depicts a flag with a black-and-white checkerboard pattern attached to a grey flag pole. The Facebook version of the emoji lacks a flag pole. The exact size and pattern of the flag varies by platform. The Google, Samsung, and WhatsApp versions of the emoji have the flag pole slanted toward the left. Checkered flags (or chequered if you follow British spelling) in racing date back to the 1906 American Automobile Association’s Glidden Tour, when the flag was used to signal to drivers the checkpoints they needed to stop at. The particular flag depicted in the the Chequered Flag emoji 🏁 is also traditionally used by a racing official to signal the end or the finish line of a motor car race. For this reason, the Chequered Flag emoji 🏁 is often used with the Racing Car emoji 🏎️ to talk about major races or popular motor car racing organizations, such as NASCAR or Formula One auto racing. More generally, the Chequered Flag emoji 🏁 is used to refer to any kind of race. The Chequered Flag emoji 🏁 is also used metaphorically to compare tough challenges or trials to long races or marathons. So, a person may use the Chequered Flag emoji 🏁 to mean they finished a hard task or are “looking toward to the finish line” if they are still in the middle of a challenging journey."
🛸 UFO emoji,https://www.dictionary.com/e/emoji/ufo-emoji/,"The UFO emoji 🛸 portrays a flying saucer, a common depiction of an alien spaceship. The term UFO stands for “unidentified flying object.” The UFO emoji 🛸 is often used to refer to outer space, spacecrafts, space aliens, or conspiracy theories. On July 2, the UFO emoji 🛸 is used with the hashtag #WorldUFODay to commemorate World UFO Day.","The UFO emoji 🛸 was approved under Unicode 10.0 in 2017 as Flying Saucer. On most major platforms, the emoji resembles an alien spacecraft in the shape of a gray disc topped with a glass-covered cockpit. The Apple and Microsoft versions of the emoji depict a space alien piloting the ship. The Google, Samsung, Twitter, and Facebook versions of the emoji have the bottom of the ship emitting a tractor beam. UFOs, also often referred to as flying saucers, are commonly depicted in popular culture as the spacecraft used by aliens from outer space. For this reason, the UFO emoji 🛸 is often used with the Alien emoji 👽 to discuss fictional space aliens or to question their existence in real life. More generally, the UFO emoji 🛸 is used with other outer space-themed emoji, such as the Rocket emoji 🚀 or the Ringed Planet emoji 🪐, to discuss outer space or astronomy. The term UFO dates back to the 1950s, when aviator Daniel Keyhoe used it in a book. In May 2021, the UFO emoji 🛸 saw increased usage on social media after it was revealed that the United States government was completing a report on “unidentified aerial phenomena.” While government officials avoided providing more details, some in the media and the public concluded that the government was investigating the existence of alien spacecraft.  "
🏎️ Racing Car emoji,https://www.dictionary.com/e/emoji/racing-car/,"The Racing Car emoji 🏎️ depicts a racing car. It is commonly used to represent race cars, motorcar racing, fast cars, and high speed driving. More generally, the emoji is used metaphorically to refer to high speeds. The Racing Car emoji 🏎️ sees increased usage during major races held by NASCAR or Formula One, such as the Daytona 500.","The Racing Car emoji 🏎️, also popularly called Race Car emoji, was approved under Unicode 7.0 in 2014. On most major platforms, the emoji resembles an open-cockpit race car similar to those used in Formula One races. On Twitter, the emoji depicts a race car similar to the stock cars used in NASCAR races. On WhatsApp, the car is blue with a white stripe. On Twitter, the car is orange with a blue stripe. On both of these platforms, the car also has a decal of the number 3. On all other major platforms, the car is red with white or black stripes. On Google, Microsoft, and Facebook, the helmet of the driver is visible. The Apple version of the emoji features the logo of the Swift programming language used on Apple devices. Many racing car fans know NASCAR unofficially retired the number 3 after stock car driver Dale Earnhardt Sr.’s death as a result of a crash at the Daytona 500 in 2001."
🧑‍🏫 Teacher emoji,https://www.dictionary.com/e/emoji/teacher-emoji/,"The Teacher emoji 🧑‍🏫 displays a teacher standing in front of a chalkboard. It is commonly used to represent teachers or education. The Teacher emoji 🧑‍🏫 is often used by teachers to discuss their jobs or by students to discuss their teachers or things happening at their school or college. The Teacher emoji 🧑‍🏫 sees increased use on May 4, which is Teacher Appreciation Day, and October 5, which is World Teachers Day.","The Teacher emoji 🧑‍🏫, was added to Emoji 12.1 in 2019. If your device supports this emoji, it is created by a combination of the Person emoji 🧑 and the School emoji 🏫. On most major platforms, the emoji resembles the head and shoulders of a teacher positioned in front of a chalkboard. On all platforms, the teacher is a yellow-skinned person of indeterminate gender. The Twitter version lacks glasses. The Google and Samsung version has an orange short and brown hair while the Apple, WhatsApp, and Twitter versions have yellow hair. The emoji has a grey shirt on Apple and Twitter and a blue shirt on WhatsApp. The emoji can be customized to have different skin colors or to more specifically resemble a man or a woman."
🍷 Wine emoji,https://www.dictionary.com/e/emoji/wine-emoji/,"The Wine emoji 🍷 displays a glass of wine. It is commonly used to represent actual and metaphorical wine, alcoholic drinks, romance, fine dining, fancy restaurants, and wealth. It is often used alongside other emoji that depict alcoholic beverages, such as the Cocktail Glass emoji 🍸 and the Beer Mug emoji 🍺. The emoji is also used on May 25, National Wine Day. Distinguish yourself among your wine-loving peers with these indispensable terms about wine that we’ve bottled up for you here.","The Wine emoji 🍷, also popularly called Wine Glass emoji, was approved under Unicode 6.0 in 2010 under the name Wine Glass. On most major platforms, the emoji depicts a wine glass filled with a red wine (there is no white option). Depending on the platform, the wine glass may be depicted realistically or be stylized. The Wine emoji 🍷 is commonly used to refer to actual wine and is used when speaking metaphorically about wine, as in the phrases “wine and dine” and “age like a fine wine.” Because wine is often stereotypically thought of as a drink for the wealthy or elite, the Wine emoji 🍷 is often used to refer to glamorous or luxurious things, such as fancy restaurants or expensive homes. In a related sense, the Wine emoji 🍷 is used to talk about romantic dinners or dates. This is a reference to candlelight dinners (where wine is usually served)."
